Date,Open,High,Low,Close,Adj Close,Volume
1994-09-16,16.9375,17.0625,16.65625,16.65625,13.719547271728516,2319200
1994-09-19,16.78125,16.78125,16.125,16.125,13.281961441040039,1379200
1994-09-20,16.125,16.15625,14.9375,15.0,12.355313301086426,8328000
1994-09-21,15.09375,15.21875,14.875,15.0,12.355313301086426,6732000
1994-09-22,15.09375,15.5,15.09375,15.40625,12.689937591552734,2544800
1994-09-23,15.5,15.5625,15.125,15.3125,12.612716674804688,1780000
1994-09-26,15.375,15.46875,15.34375,15.40625,12.689937591552734,1053600
1994-09-27,15.40625,15.59375,15.40625,15.40625,12.689937591552734,545200
1994-09-28,15.4375,15.6875,15.3125,15.6875,12.921591758728027,1088400
1994-09-29,15.875,15.875,15.4375,15.5625,12.818635940551758,1292000
1994-09-30,15.625,15.625,15.4375,15.46875,12.741418838500977,848000
1994-10-03,15.53125,15.53125,15.28125,15.3125,12.612716674804688,1763600
1994-10-04,15.28125,15.3125,14.6875,14.6875,12.097908973693848,3115200
1994-10-05,14.5625,15.0,14.34375,15.0,12.355313301086426,1380000
1994-10-06,15.1875,15.3125,15.0,15.25,12.561233520507812,939200
1994-10-07,15.28125,15.75,15.1875,15.71875,12.947336196899414,893200
1994-10-10,15.6875,15.84375,15.625,15.8125,13.024555206298828,731600
1994-10-11,15.96875,16.0625,15.9375,15.96875,13.153261184692383,1342400
1994-10-12,16.0,16.21875,15.9375,16.125,13.281961441040039,624000
1994-10-13,16.25,16.46875,16.03125,16.03125,13.20473861694336,731600
1994-10-14,16.03125,16.03125,15.875,15.96875,13.153261184692383,767200
1994-10-17,15.96875,15.96875,15.875,15.90625,13.10177993774414,373200
1994-10-18,15.875,15.875,15.65625,15.78125,12.998817443847656,978000
1994-10-19,15.875,16.46875,15.828125,16.40625,13.513623237609863,1424800
1994-10-20,16.34375,16.34375,16.15625,16.21875,13.35917854309082,742800
1994-10-21,16.15625,16.1875,15.8125,15.90625,13.10177993774414,1027200
1994-10-24,15.90625,15.90625,15.4375,15.46875,12.741418838500977,1651600
1994-10-25,15.40625,15.4375,15.125,15.125,12.458272933959961,888800
1994-10-26,15.15625,15.15625,14.75,14.875,12.252347946166992,1126000
1994-10-27,14.875,14.875,14.5625,14.8125,12.200868606567383,1119200
1994-10-28,14.875,15.34375,14.875,15.3125,12.612716674804688,1971600
1994-10-31,15.3125,15.375,15.125,15.1875,12.50975227355957,779600
1994-11-01,15.125,15.125,15.09375,15.09375,12.432530403137207,333600
1994-11-02,15.0625,15.09375,14.96875,15.0,12.355313301086426,790000
1994-11-03,15.0,15.125,15.0,15.03125,12.381051063537598,585600
1994-11-04,15.03125,15.09375,14.84375,14.875,12.252347946166992,473600
1994-11-07,14.9375,15.03125,14.875,14.875,12.252347946166992,691200
1994-11-08,14.8125,14.84375,14.625,14.6875,12.097908973693848,913600
1994-11-09,14.75,14.875,14.625,14.75,12.14938735961914,756400
1994-11-10,14.8125,14.8125,14.6875,14.6875,12.097908973693848,363600
1994-11-11,14.75,14.78125,14.59375,14.59375,12.020687103271484,264400
1994-11-14,14.65625,15.09375,14.59375,15.0625,12.406793594360352,1126800
1994-11-15,15.0625,15.125,14.78125,14.90625,12.278094291687012,1222400
1994-11-16,14.875,14.90625,14.78125,14.84375,12.22661018371582,508400
1994-11-17,14.78125,14.84375,14.6875,14.8125,12.200868606567383,990000
1994-11-18,15.0,15.03125,14.90625,14.90625,12.278094291687012,1010000
1994-11-21,14.9375,15.15625,14.90625,15.09375,12.432530403137207,723200
1994-11-22,15.03125,15.15625,15.0,15.03125,12.381051063537598,564800
1994-11-23,14.96875,14.96875,14.4375,14.4375,11.891985893249512,704800
1994-11-25,14.375,14.53125,14.375,14.46875,11.917731285095215,204000
1994-11-28,14.5,14.5,14.09375,14.125,11.634581565856934,872800
1994-11-29,14.1875,14.34375,14.125,14.3125,11.789030075073242,1280000
1994-11-30,14.46875,14.46875,14.1875,14.21875,11.711807250976562,466000
1994-12-01,14.21875,14.21875,14.0625,14.0625,11.583106994628906,404800
1994-12-02,14.0,14.09375,13.875,13.96875,11.505882263183594,630000
1994-12-05,13.9375,14.125,13.9375,13.9375,11.480143547058105,766800
1994-12-06,13.9375,13.9375,13.78125,13.875,11.428666114807129,740400
1994-12-07,13.90625,13.96875,13.90625,13.9375,11.480143547058105,907600
1994-12-08,14.0,14.0,13.46875,13.46875,11.094039916992188,908800
1994-12-09,13.5,13.71875,13.375,13.5,11.119778633117676,718800
1994-12-12,13.5625,13.84375,13.5625,13.84375,11.402923583984375,994800
1994-12-13,13.84375,13.96875,13.6875,13.75,11.325703620910645,718400
1994-12-14,13.8125,14.375,13.8125,14.28125,11.763285636901855,1783200
1994-12-15,14.28125,14.46875,14.28125,14.28125,11.763285636901855,762000
1994-12-16,14.46875,14.46875,14.25,14.34375,11.814765930175781,1748800
1994-12-19,14.3125,14.59375,14.28125,14.53125,11.969208717346191,426000
1994-12-20,14.5625,14.71875,14.5625,14.71875,12.123651504516602,374000
1994-12-21,14.6875,14.90625,14.6875,14.75,12.14938735961914,521200
1994-12-22,14.75,14.78125,14.625,14.625,12.046431541442871,387600
1994-12-23,14.65625,14.9375,14.625,14.84375,12.22661018371582,502000
1994-12-27,14.90625,14.9375,14.875,14.9375,12.303831100463867,309200
1994-12-28,14.9375,14.9375,14.8125,14.9375,12.303831100463867,370800
1994-12-29,14.90625,15.03125,14.90625,15.0,12.355313301086426,260400
